band,liquid_type,points,mean_value,std_value,peak_mhz,peak_value,valley_mhz,valley_value,slope_per_mhz,energy
180-220MHz,Air,301,0.6473383136126751,0.3084707230069124,196.0,1.2187465025577664,184.133333,0.124180038317404,0.014846615114781124,20.581895048764224
180-220MHz,Ethanol,301,0.7919440030131594,0.7900774776381764,190.4,2.3969952451389505,220.0,-0.44217095733419365,-0.04542563913876099,50.095250280413445
180-220MHz,Glycerol,301,0.7975585970099038,0.7633738096930794,190.266667,2.2348701196209206,220.0,-0.3583447886904953,-0.044329293230142224,48.784006711805304
180-220MHz,HCl,301,0.5935507084000242,1.1339246115518142,187.066667,2.5302832201150993,219.6,-0.6059173825914977,-0.08754465299437136,65.44135874043394
180-220MHz,NaCl,301,0.6075657437079436,1.1391622330934594,186.4,2.5942602660509366,219.333333,-0.6236675251287601,-0.08896120991621778,66.58915961765912
180-220MHz,NaOH,301,0.6008574392318989,1.1429521196697139,186.666667,2.585585922948201,219.466667,-0.6121438241445325,-0.08889832672505689,66.61472155572041
180-220MHz,Water,301,0.7247030112953321,0.9948183458869325,188.4,2.6801301878484627,219.466667,-0.5329749337658002,-0.06980336383299073,60.591877597901686
180-220MHz,nothing,301,0.5725765831290495,0.3114247528154057,196.533333,1.089227160228476,184.4,0.016885515078909796,0.01751261256392231,16.998772404159165
270-300MHz,Air,226,-1.2409533008641576,0.18884652993833165,300.0,-0.5484295409601609,278.933333,-1.4252894110388812,0.009079221197130182,47.40281547711187
270-300MHz,Ethanol,226,-0.7440160400058871,0.7076000420745946,300.0,0.8093968218703547,275.6,-1.5146645277348787,0.07764731158137847,31.5429521352053
270-300MHz,Glycerol,226,-0.8668491017633103,0.6348572320281137,300.0,0.6094038332026391,275.866667,-1.5437507319973522,0.06766387974996345,34.61192804782776
270-300MHz,HCl,226,-0.4457509304272392,0.7343573120385835,300.0,0.9453544682729152,270.533333,-1.3214951226505665,0.082830509930082,21.990892799718974
270-300MHz,NaCl,226,-0.4126344274669553,0.7768056254453617,300.0,1.031606932061339,272.666667,-1.2924330176804404,0.08730136226279094,23.052768462898516
270-300MHz,NaOH,226,-0.42658682118654817,0.7627946806898568,300.0,0.9954978614521943,270.8,-1.3201803072693137,0.08593392980134709,22.758421619564196
270-300MHz,Water,226,-0.5595838100506385,0.7618404423577627,300.0,0.9967913836152847,274.133333,-1.3944642176284963,0.08483441501749107,26.665144384159298
270-300MHz,nothing,226,-1.2685268545944917,0.16649536626051922,300.0,-0.7602358303902519,293.6,-1.4610527146225505,-0.004232107028216065,49.24309845758408
