band,liquid_a,liquid_b,points,rms_distance
180-220MHz,Air,Ethanol,301,0.8917841468108537
180-220MHz,Air,Glycerol,301,0.8794338750440931
180-220MHz,Air,HCl,301,1.305955848718386
180-220MHz,Air,NaCl,301,1.3195811459358129
180-220MHz,Air,NaOH,301,1.3192892951278605
180-220MHz,Air,Water,301,1.1493118041931147
180-220MHz,Air,nothing,301,0.0965121101789226
180-220MHz,Ethanol,Glycerol,301,0.12019988795769933
180-220MHz,Ethanol,HCl,301,0.6661868657784871
180-220MHz,Ethanol,NaCl,301,0.6860092735629635
180-220MHz,Ethanol,NaOH,301,0.6861014290998693
180-220MHz,Ethanol,Water,301,0.3817776533056547
180-220MHz,Ethanol,nothing,301,0.9484645179013038
180-220MHz,Glycerol,HCl,301,0.6377259904913398
180-220MHz,Glycerol,NaCl,301,0.6584713476656417
180-220MHz,Glycerol,NaOH,301,0.6595200522726072
180-220MHz,Glycerol,Water,301,0.38417666327103334
180-220MHz,Glycerol,nothing,301,0.9386079262557908
180-220MHz,HCl,NaCl,301,0.06273567418975064
180-220MHz,HCl,NaOH,301,0.04263948517637252
180-220MHz,HCl,Water,301,0.3675502086690744
180-220MHz,HCl,nothing,301,1.3443734729613739
180-220MHz,NaCl,NaOH,301,0.0319275415276019
180-220MHz,NaCl,Water,301,0.3736941416771775
180-220MHz,NaCl,nothing,301,1.3573133888969038
180-220MHz,NaOH,Water,301,0.3785650362508311
180-220MHz,NaOH,nothing,301,1.3571975950013149
180-220MHz,Water,nothing,301,1.195316441769067
270-300MHz,Air,Ethanol,226,0.7814956263195588
270-300MHz,Air,Glycerol,226,0.6412150707599288
270-300MHz,Air,HCl,226,1.0270949558265985
270-300MHz,Air,NaCl,226,1.0778776662515106
270-300MHz,Air,NaOH,226,1.0594075374756886
270-300MHz,Air,Water,226,0.9524258128249471
270-300MHz,Air,nothing,226,0.12449275231151055
270-300MHz,Ethanol,Glycerol,226,0.1532522733716739
270-300MHz,Ethanol,HCl,226,0.3134000575854832
270-300MHz,Ethanol,NaCl,226,0.34982540296070386
270-300MHz,Ethanol,NaOH,226,0.3354062479263808
270-300MHz,Ethanol,Water,226,0.1969649643553929
270-300MHz,Ethanol,nothing,226,0.8926698057238298
270-300MHz,Glycerol,HCl,226,0.45535148697657996
270-300MHz,Glycerol,NaCl,226,0.495336788153823
270-300MHz,Glycerol,NaOH,226,0.4802142033841794
270-300MHz,Glycerol,Water,226,0.34622991212350107
270-300MHz,Glycerol,nothing,226,0.7561513513384596
270-300MHz,HCl,NaCl,226,0.0562257650465956
270-300MHz,HCl,NaOH,226,0.03517094645807818
270-300MHz,HCl,Water,226,0.1285485501372644
270-300MHz,HCl,nothing,226,1.1245501890331924
270-300MHz,NaCl,NaOH,226,0.022500845521441472
270-300MHz,NaCl,Water,226,0.15559365728814534
270-300MHz,NaCl,nothing,226,1.1761986727329403
270-300MHz,NaOH,Water,226,0.14329499362769949
270-300MHz,NaOH,nothing,226,1.157538902067766
270-300MHz,Water,nothing,226,1.05694725583882
