sequence,captured_at,elapsed_seconds,raw_file,frequency_hz,amplitude,was_interpolated_to_reference_grid
1,2026-05-27 15:05:01.354,0.0,000001_20260527_150501_354_trace1.csv,39643296.0,-75.7050781,False
1,2026-05-27 15:05:01.354,0.0,000001_20260527_150501_354_trace1.csv,39990438.272,-74.2296753,False
1,2026-05-27 15:05:01.354,0.0,000001_20260527_150501_354_trace1.csv,40337580.544,-74.1665192,False
1,2026-05-27 15:05:01.354,0.0,000001_20260527_150501_354_trace1.csv,40684722.816,-74.503891,False
1,2026-05-27 15:05:01.354,0.0,000001_20260527_150501_354_trace1.csv,41031865.088,-74.3416367,False
1,2026-05-27 15:05:01.354,0.0,000001_20260527_150501_354_trace1.csv,41379007.36,-74.28405,False
1,2026-05-27 15:05:01.354,0.0,000001_20260527_150501_354_trace1.csv,41726149.632,-74.294014,False
1,2026-05-27 15:05:01.354,0.0,000001_20260527_150501_354_trace1.csv,42073291.904,-73.5375748,False
1,2026-05-27 15:05:01.354,0.0,000001_20260527_150501_354_trace1.csv,42420434.176,-72.9638748,False
1,2026-05-27 15:05:01.354,0.0,000001_20260527_150501_354_trace1.csv,42767576.448,-72.4378433,False
